Title,Prices,Item_url,Image_url,Category
Collectif Delores Hibiscus Dress Size 10,$14.43 ,https://www.ebay.com/itm/274872105638?hash=item3fffa77aa6:g:2dkAAOSwiSBg8bc9,https://i.ebayimg.com/thumbs/images/g/2dkAAOSwiSBg8bc9/s-l225.jpg,Dress
Gorgeous Ladies Lindy Bop Dress Size 18 fit and flare lovely style and colour,$10.88 ,https://www.ebay.com/itm/234097843820?hash=item3681519e6c:g:x2QAAOSwZVdg97Ac,https://i.ebayimg.com/thumbs/images/g/x2QAAOSwZVdg97Ac/s-l225.jpg,Dress
Debenhams Dress,$3.54 ,https://www.ebay.com/itm/393442671727?hash=item5b9b02bc6f:g:TWAAAOSw35Fgx79i,https://i.ebayimg.com/thumbs/images/g/TWAAAOSw35Fgx79i/s-l225.jpg,Dress
Sleeveless Linen Dress White Relaxed Fit Size 16 Asymmetrical Cotton Lace Hem,$3.95 ,https://www.ebay.com/itm/403004521911?hash=item5dd4f0fdb7:g:RFQAAOSwqvVg9bnN,https://i.ebayimg.com/thumbs/images/g/RFQAAOSwqvVg9bnN/s-l225.jpg,Dress
Red Print Mini Dress Size Medium From Pull &Bear,$2.71 ,https://www.ebay.com/itm/294281930581?hash=item448491e755:g:PoQAAOSwYwRg9A0z,https://i.ebayimg.com/thumbs/images/g/PoQAAOSwYwRg9A0z/s-l225.jpg,Dress
Protest Summer Strappy Dress Size Small / 10,$9.39 ,https://www.ebay.com/itm/133824489303?hash=item1f288fa757:g:xkMAAOSwW1pg9vrG,https://i.ebayimg.com/thumbs/images/g/xkMAAOSwW1pg9vrG/s-l225.jpg,Dress
missguided mini dress size 8 Light Grey Party Summer Dress New With Tags,$5.44 ,https://www.ebay.com/itm/203526581609?hash=item2f63212d69:g:s9cAAOSwMolgGs5H,https://i.ebayimg.com/thumbs/images/g/s9cAAOSwMolgGs5H/s-l225.jpg,Dress
That Bird Label Dress Sz 14,$7.32 ,https://www.ebay.com/itm/114898838885?hash=item1ac0812565:g:PPQAAOSwMW1g9nxF,https://i.ebayimg.com/thumbs/images/g/PPQAAOSwMW1g9nxF/s-l225.jpg,Dress
Mango Arizona Shift Dress Size M,$2.72 ,https://www.ebay.com/itm/384285700007?hash=item5979366fa7:g:k0QAAOSw14pg9nBn,https://i.ebayimg.com/thumbs/images/g/k0QAAOSw14pg9nBn/s-l225.jpg,Dress
Pretty New Look Floral Shirt Midi Dress 12,$10.88 ,https://www.ebay.com/itm/184953273317?hash=item2b1012fbe5:g:CE0AAOSw3p9g9dQf,https://i.ebayimg.com/thumbs/images/g/CE0AAOSw3p9g9dQf/s-l225.jpg,Dress
Occasion Dress And Wrap,$1.35 ,https://www.ebay.com/itm/255059210266?hash=item3b62b6b01a:g:gukAAOSw~xZg9WD6,https://i.ebayimg.com/thumbs/images/g/gukAAOSw~xZg9WD6/s-l225.jpg,Dress
